cid,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,prob,intensity,lat,lng
5540-5539,2,2,0,1,1,1,0,0,0,0,0,1,0.015428891217430296,8,-23.540176857188854,-46.639685679900936
111014-111015,1,1,0,0,1,2,0,1,0,1,0,1,0.01738648611438377,8,-23.56318405,-46.65450385
27762-27760,2,1,1,2,0,1,1,0,1,0,0,0,0.017054721436154788,9,-23.483323188690882,-46.67370535417968
5769-5771,2,1,0,0,1,0,0,0,1,0,1,0,0.012695956768593555,6,-23.538742842032114,-46.562486975874315
81432-81442,1,0,0,0,3,1,4,0,0,0,1,0,0.012263379619079503,10,-23.533238840988062,-46.41743495911055
28951-127911,1,1,0,0,1,1,0,0,0,0,0,1,0.012799518670913675,5,-23.497771312605163,-46.39759305004053
5514-1987,3,9,1,2,3,3,1,1,2,3,1,0,0.026978334518651084,29,-23.54800726704667,-46.63846964699251
17286-130050,1,1,0,1,1,1,0,0,0,0,0,1,0.015428891217430293,6,-23.41380365,-46.73506945
72446-72444,1,1,1,0,0,0,0,0,0,0,1,2,0.012722534601932334,6,-23.518769899999995,-46.400658500000006
99801-111024,2,1,2,2,0,6,0,0,3,1,1,2,0.022789118098251144,20,-23.564319349999998,-46.65313710000001
10354-5655,2,0,1,0,0,2,0,0,0,2,0,0,0.010178394417502179,7,-23.529205387431627,-46.73860681077741
92171-92176,2,1,0,1,1,0,0,0,0,1,0,0,0.013012141337623961,6,-23.61290495000541,-46.452494625010665
117038-110316,2,2,1,2,2,1,2,0,0,2,1,2,0.02516279355850848,17,-23.5081012751267,-46.70642211250439
73978-73977,2,1,1,1,1,1,0,2,0,0,4,6,0.02260765564993808,19,-23.44323631244457,-46.593055081426044
7725-21794,6,0,3,4,3,1,1,1,0,0,0,1,0.019394487246979782,20,-23.555160460037,-46.65538970726752
84166-28979,3,0,3,0,2,0,1,1,2,1,3,2,0.02175624850608517,18,-23.49489031570514,-46.41204314076814
7667-113398,1,1,0,1,1,0,0,0,0,1,1,0,0.015599355941603195,6,-23.500890237837204,-46.615049987794336
99892-119956,2,1,0,0,1,1,0,0,0,2,2,0,0.015486629269166264,9,-23.73370338324855,-46.78258530256737
1588-1591,3,0,1,3,1,2,2,1,1,6,3,2,0.026902266926681507,25,-23.51812960636452,-46.62896071852387
91295-6591,1,0,0,1,1,0,0,0,2,1,1,2,0.017846557574248283,9,-23.54998745888707,-46.67959278179305
95041-95042,1,0,0,1,0,0,1,1,0,1,0,0,0.011626428095960265,5,-23.564183250002372,-46.41017712499969
28926-28953,1,1,1,2,0,1,0,2,3,2,1,3,0.024778789690613565,17,-23.492573100010333,-46.38839857497985
61906-61907,11,14,1,9,6,6,5,6,8,11,6,5,0.029475734375485445,88,-23.542859125003716,-46.64137038333346
107221-118660,1,0,0,1,0,1,0,0,0,1,1,1,0.015290503188666251,6,-23.686976684534038,-46.79475547498792
5549-5580,3,3,3,1,2,1,1,2,0,0,0,0,0.019470554838949397,16,-23.54476766487383,-46.64284719136194
54930-46981,1,0,0,1,2,1,1,0,0,1,2,0,0.017490048016703855,9,-23.60498783706957,-46.51070885861125
1463-98679,1,0,1,0,0,0,0,1,0,1,1,0,0.012238634739764062,5,-23.52488683001907,-46.57171288529328
23268-23267,2,0,2,1,1,0,0,0,2,1,0,2,0.017861221206435237,11,-23.542410659296447,-46.644049928216624
27767-27766,1,2,1,0,3,1,0,0,0,2,1,0,0.01808850750533242,11,-23.476735828781777,-46.670720248218494
135876-7443,3,2,2,0,1,0,0,0,0,2,0,1,0.01548204688410788,11,-23.562968508336084,-46.69449618335197
21490-21492,1,0,0,2,2,1,2,1,2,4,5,3,0.02430038869051531,23,-23.692158889334138,-46.661680242817525
10248-10249,2,2,4,2,4,5,4,3,5,4,7,4,0.029475734375485448,46,-23.539055829270154,-46.471068396357225
41013-115826,2,0,2,0,0,3,1,1,1,0,1,1,0.01892616749401012,12,-23.459321761380966,-46.68935937549293
29808-29809,2,1,0,0,2,1,0,0,2,2,0,1,0.01772008374663613,11,-23.7045416,-46.70080180000001
75800-3851,1,0,0,0,1,2,0,0,0,0,1,0,0.010315865969254547,5,-23.661393415121616,-46.77973889934614
115394-7723,3,2,0,3,2,5,2,2,0,1,2,1,0.024550586914704624,23,-23.55927158334189,-46.65872278333539
5537-5538,1,8,1,2,2,2,4,6,6,7,3,3,0.029475734375485448,45,-23.54141650501557,-46.63910513356799
115998-129734,1,0,1,1,0,1,0,0,0,1,0,0,0.012807766964018823,5,-23.63361558334379,-46.69337383331144
20717-27205,2,0,1,0,1,0,0,1,0,0,0,0,0.009803555319724103,5,-23.5362322,-46.5870412
101531-6497,14,5,10,8,8,12,7,6,8,6,4,4,0.029475734375485455,92,-23.56539749205768,-46.65752564489793
37884-126790,1,1,0,0,2,0,0,0,2,0,0,0,0.010108742164614331,6,-23.751625899999997,-46.6662592
1982-5595,2,0,1,0,1,0,0,0,3,1,0,3,0.015231848659918591,11,-23.541661044105417,-46.63472407968453
112779-23333,3,1,2,0,1,1,0,1,0,0,0,0,0.014893668642607816,9,-23.54128222883552,-46.64472331959515
7610-6816,12,13,6,2,9,8,9,8,9,17,11,4,0.02947573437548545,108,-23.542252079808385,-46.64211320361322
72211-70632,2,4,1,3,3,6,1,1,3,4,5,1,0.02947573437548544,34,-23.5132862272621,-46.44372623604664
19254-1008,5,2,2,4,4,2,0,2,6,3,6,3,0.027528220725660538,39,-23.6011446279944,-46.60018361223149
41074-41097,1,2,1,0,2,3,0,3,0,2,1,0,0.020078179097694788,15,-23.4504932864208,-46.71614155162304
21769-19023,2,1,0,0,0,1,0,2,0,1,0,0,0.012139655222502389,7,-23.577388470167442,-46.6111520580608
113800-113802,4,1,1,0,0,0,0,0,0,0,0,0,0.007637920141118746,6,-23.543251249999997,-46.53282615
76186-76182,2,5,2,2,1,0,2,2,2,3,2,1,0.026959088501405767,24,-23.52697421573354,-46.46515035219467
111021-99803,3,2,3,3,2,2,0,1,0,1,0,1,0.022617736897066566,18,-23.566012102132483,-46.65105003155295
20795-20796,2,0,1,1,0,1,0,1,0,1,1,1,0.01988205301719475,9,-23.541269099999997,-46.60933025
13942-139245,3,5,1,3,1,2,1,3,2,0,2,3,0.02687843852437772,26,-23.577572043858694,-46.64547182179684
130594-6535,1,0,1,0,0,1,0,1,0,0,2,0,0.012157984762736027,6,-23.550992732387115,-46.64932447519167
394-254,3,2,1,1,3,1,1,0,2,0,2,4,0.024888766932015367,20,-23.572938648065218,-46.70488231236122
6589-6590,3,8,3,7,4,3,4,0,6,5,6,3,0.02748606278312313,52,-23.549400550021105,-46.68016213338376
161-16120,2,2,0,0,3,0,0,0,0,1,0,0,0.01038276879110733,8,-23.590685475063736,-46.65114669492692
72842-122763,3,0,0,1,1,1,2,0,1,1,0,1,0.01972350249417375,11,-23.540592350000853,-46.42099305000097
125850-5425,10,11,3,7,7,2,2,3,3,13,4,8,0.029475734375485445,73,-23.54478409739053,-46.63519899796779
125922-41136,1,0,0,1,0,1,1,0,0,0,1,0,0.012143321130549107,5,-23.439512104013122,-46.7170651526137
5740-129653,1,0,4,0,2,2,1,2,1,0,2,1,0.021675598529057146,16,-23.570968078308425,-46.63975415746093
52298-45888,1,0,1,1,2,1,0,0,0,0,2,0,0.015547116751937314,8,-23.50700479810331,-46.488680797888364
123-114454,4,1,5,1,0,0,0,0,0,0,0,0,0.01026729268763536,11,-23.515812175393638,-46.726902211307
21799-3572,1,2,1,4,3,2,3,4,4,5,6,4,0.02947573437548545,39,-23.552489947061304,-46.65856111839396
37194-37195,2,0,0,0,0,0,0,0,2,0,1,1,0.009870458141576914,6,-23.743250658792256,-46.69259071603409
5426-5454,2,1,2,3,1,2,0,0,1,2,0,0,0.020453934672484513,14,-23.549991763815278,-46.63696199052383
111609-111610,4,1,1,3,1,1,3,0,1,4,2,7,0.027486062783123127,28,-23.54159895365416,-46.57951029643636
34840-16608,1,1,0,0,0,1,0,2,1,0,1,0,0.014452843199988626,7,-23.583449237905803,-46.54819881206922
813-814,1,2,1,0,1,0,0,0,3,1,0,1,0.017805316108722623,10,-23.6537456,-46.72103995
5432-5433,3,6,5,1,3,1,1,1,3,2,0,3,0.026888519771506247,29,-23.549473065242616,-46.63296902060273
8827-4214,2,0,2,2,1,0,0,1,0,1,1,1,0.020114838178162068,11,-23.647365840132135,-46.63969425486493
5549-5548,2,11,4,2,7,3,0,3,2,1,1,2,0.027528220725660545,38,-23.545235028778183,-46.64371386591856
78553-78554,2,1,1,3,3,0,1,1,1,2,0,0,0.021874474040592173,15,-23.554816441862133,-46.46278595281636
35948-115158,2,2,0,1,1,0,0,1,0,0,1,0,0.014991731682857806,8,-23.65967277261333,-46.77461264028
27797-27879,1,0,0,0,0,1,0,0,0,1,1,1,0.012661130642149665,5,-23.494722741197013,-46.684816251515436
99388-99389,1,1,1,0,0,0,0,1,0,1,1,0,0.014812102188568068,6,-23.587689849999997,-46.4906682
50966-118981,3,2,1,1,0,0,2,1,0,0,0,1,0.016701877786657077,11,-23.64043160728201,-46.6520972918882
113533-61580,3,3,1,0,1,0,1,1,1,1,1,2,0.024329715954889187,15,-23.60597345927583,-46.59383768681164
3458-3420,2,2,2,0,1,0,0,0,1,1,0,1,0.017805316108722626,10,-23.647693779765376,-46.74794748462057
5613-1918,4,7,5,3,10,0,7,5,3,5,2,6,0.026959088501405767,57,-23.544783482126505,-46.63067645472874
3439-3442,2,9,1,1,0,1,0,1,0,2,0,1,0.019868305862019507,18,-23.56813173078079,-46.69278798744192
71511-71488,6,4,7,4,3,3,2,2,0,3,4,1,0.027152465150870816,39,-23.619437734116886,-46.42329763546931
114749-65695,2,0,6,5,3,3,1,1,0,1,0,1,0.021991783098087535,23,-23.590617762546504,-46.79723949578057
5482-32302,4,4,3,4,1,5,0,1,0,2,2,2,0.025204951501045837,28,-23.54852092633108,-46.64256102223992
23175-5416,3,0,2,9,0,3,1,0,0,4,0,1,0.017252680470678128,23,-23.55235810247291,-46.63821415112969
6834-6831,4,1,0,1,0,0,1,0,0,0,0,1,0.012110327958128546,8,-23.52992789321666,-46.59851680445105
1897-1900,2,3,1,3,5,1,1,1,0,0,1,0,0.022057769442928674,18,-23.549875425000074,-46.626768425000364
124543-5541,1,0,1,0,0,2,1,0,0,0,0,2,0.012026012073053777,7,-23.539130950341864,-46.64043864686185
116144-3494,2,2,0,2,2,0,0,1,1,2,1,0,0.019912296758580278,13,-23.645846116268558,-46.710280656553195
5417-5418,8,5,9,6,5,7,3,2,8,6,5,6,0.02947573437548546,70,-23.552126212744575,-46.63550548468304
5308-111016,2,4,0,1,2,3,0,1,0,0,2,1,0.02000577741377191,16,-23.57059367500412,-46.64502497500827
22941-22966,1,1,0,3,0,0,1,0,0,0,1,0,0.012200142705273432,7,-23.497909013867925,-46.7069576358632
