cid,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,prob,intensity,lat,lng,color_r,color_g,color_b,category,airplane,animal,apparel,arcade,armchair,ashcan,awning,bag,ball,bannister,bar,barrel,base,basket,bathtub,bed,bench,bicycle,blanket,blind,boat,book,bookcase,booth,bottle,box,bridge,buffet,building,bulletin,bus,cabinet,canopy,car,case,ceiling,chair,chandelier,chest,clock,coffee,column,computer,conveyer,counter,countertop,cradle,crt,curtain,cushion,desk,dirt,dishwasher,door,earth,escalator,fan,fence,field,fireplace,flag,floor,flower,food,fountain,glass,grandstand,grass,hill,hood,house,hovel,kitchen,lake,lamp,land,light,microwave,minibike,mirror,monitor,mountain,ottoman,oven,painting,palm,path,person,pier,pillow,plant,plate,plaything,pole,pool,poster,pot,radiator,railing,refrigerator,river,road,rock,rug,runway,sand,sconce,screen_door,screen_projection,sculpture,sea,seat,shelf,ship,shower,sidewalk,signboard,sink,sky,skyscraper,sofa,stage,stairs,stairway,step,stool,stove,streetlight,swimming,swivel,table,tank,television,tent,toilet,towel,tower,trade,traffic,tray,tree,truck,van,vase,wall,wardrobe,washer,water,waterfall,windowpane
10-364,0,0,1,1,1,2,1,3,2,2,1,2,0.024439693196291,16,-23.58570843237436,-46.69064258608634,6, 230, 230,sky,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,4.7119140625,0,16.875076293945312,0.0,0.0,0.0,0.0,17.174148559570312,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,1.1138916015625,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.41069030761719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5872955322265625,0.0,0.0,0.0,0.0,0.0484466552734375,0.0,0.0,1.6674041748046875,0.0,0.0,0.0,0.0,0.13275146484375,0.0,0.0,147.98927307128906,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6580047607421875,1.644134521484375,0.0,151.50146484375,0.000762939453125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.119781494140625,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0011444091796875,0.0,0.0,0.0,34.1461181640625,0.0,0.0,0.0,3.216552734375,0.0,0.0,0.0011444091796875,0.0,0.0
100063-100132,1,1,1,0,0,5,1,2,0,4,2,2,0.0217736615693071,19,-23.686726708535204,-46.75578512853829,6, 230, 230,sky,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000762939453125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011444091796875,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.08087158203125,0,18.146896362304688,0.0,0.3185272216796875,0.0,0.0,16.266632080078125,0.0,0.0,0.9090423583984376,0.0,0.0,0.0,0,2.64892578125,0,0.0,0.0,0,0,0.0,0.0,0.01373291015625,0,0.0,0,0.0,4.6871185302734375,0.0,0.0,3.8291931152343746,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0423431396484375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.9161224365234373,0.0,0.0,0.0,0.0,0.0,1.6704559326171875,0.0,0.0,0.4730224609375,0.0,0.0,7.5634002685546875,0.0,0.0,0.0,0.0,2.695083618164062,0.0,0.0,93.34526062011719,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.818084716796875,0.0,0.0,0.0,0.0,22.213363647460938,0.07171630859375,0.0,120.09925842285156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1239776611328125,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.82476806640625,1.2126922607421875,0.6504058837890625,0.0,55.377197265625,0.0,0.0,0.0,0.0,0.0
100071-100063,0,0,1,1,1,1,3,1,0,0,2,0,0.0170217282637342,10,-23.68655076652968,-46.75488542669973,6, 230, 230,sky,0.0,0.0,0.0,0.0,0.0,0.379180908203125,0.3719329833984375,0.0743865966796875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0904083251953125,0.0,0,36.11412048339844,0.0,0.2429962158203125,0.0,0.0,6.4418792724609375,0.0,0.0,0.0,0.0,0.0,0.0,0,2.6073455810546875,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.4970550537109375,0.0,0.0,14.381027221679688,0.0,0,0.0,0.147247314453125,0.0,0.0,0.0,0.0,0.0,0.0,0.0019073486328125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.1114349365234375,0.0,0.0,0.0,0.0,0.0,0.3871917724609375,0.0,0.0,0.009918212890625,0.0,0.0,10.081863403320312,0.0,0.0011444091796875,0.0,0.0,0.01220703125,0.0,0.0,121.76284790039062,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.281387329101562,3.82537841796875,0.0,133.02574157714844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1987457275390625,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0026702880859375,0.0,30.484390258789062,0.0,0.0,0.0,17.465591430664062,0.0,0.0,0.0,0.0,0.0
100329-100330,0,0,1,1,0,2,2,1,1,1,1,1,0.021690262161244,11,-23.536626486508887,-46.63569422138114,180, 120, 120,building,0.0,0.0,0.0,0.0,0.0,0.0,0.00152587890625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,157.72933959960938,0.096893310546875,0.0,0.0,0.0,17.92755126953125,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.7572174072265625,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.116729736328125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.801513671875,0.0,0.0,0.0,0.0,0.0,2.8583526611328125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.41648864746094,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.647384643554688,0.405120849609375,0.0,36.52534484863281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1270294189453125,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0308990478515625,0.009918212890625,0.0,30.562591552734375,0.0,0.70648193359375,0.0,0.2460479736328125,0.0,0.0,0.0,0.0,0.0335693359375
1005-19702,1,1,2,2,0,0,0,1,2,1,0,0,0.0171775293557201,10,-23.604659338876065,-46.600045381790096,140, 140, 140,road,0.0,0.0,0.0,0.0,0.0,0.0,0.3826141357421875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1285552978515625,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,7.831573486328125,0,8.126068115234375,0.0,0.0,0.0,0.0,1.674652099609375,0.0,0.0,0.00457763671875,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,1.601409912109375,0.0,0.0,0.81634521484375,0.0,0,0.0091552734375,0.0,0.0,0.0,0.0,0.0,0.0,27.648162841796875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0885009765625,0.0949859619140625,0.0,0.0,0.0240325927734375,0.0,0.0,1.854705810546875,0.0,0.0,0.0,0.0,0.1155853271484375,0.0,0.0,146.76551818847656,0.0,0.0,0.0,0.0,0.0,0,0.0,0.1430511474609375,0.0,0.0,0.0,0.0,0.0,10.825347900390625,0.0492095947265625,0.0,133.87222290039062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1743316650390625,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.92591857910156,0.0576019287109375,0.0,0.0,2.7858734130859375,0.0,0.0,0.0,0.0,0.0
1010-134628,2,0,1,0,0,0,0,1,2,1,0,3,0.0144720892172339,10,-23.598840147830984,-46.59740102226381,140, 140, 140,road,0.2811431884765625,0.0,0.0,0.0,0.0,0.0,0.0957489013671875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,4.235076904296875,0,68.52569580078125,0.0,0.0,0.0,0.0,58.400726318359375,0.0,5.4607391357421875,0.0,0.0,0.0,0.0,0,0.1373291015625,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0.1155853271484375,0.2483367919921875,0.0,0.0,0.0766754150390625,0.0,0,0.0,0.0,0.0,0.0,0.0003814697265625,0.0,0.0,0.009918212890625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.08392333984375,0.0,0.0,0.0,0.0,0.0,0.690460205078125,0.0,0.0,1.25579833984375,0.0,0.0,0.623321533203125,0.0,0.0,0.0,0.0,0.5863189697265625,0.0,0.0,106.24198913574219,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0870361328125,2.32391357421875,0.0,99.18479919433594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2012481689453125,0.0,0.0,0.0637054443359375,0.0019073486328125,0,0.0,0.0,0.0,0.0,0.00457763671875,0.2986907958984375,0.0,29.756546020507812,0.121307373046875,0.3963470458984375,0.0,8.490753173828125,0.0,0.0,0.0,0.0,0.0
101366-2703,2,0,1,2,0,0,0,1,2,1,0,1,0.0171014617637505,10,-23.51004865741117,-46.550556490426416,6, 230, 230,sky,0.0,0.0,0.0,0.0,0.0,0.1056671142578125,0.0,0.0385284423828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.6565093994140625,0.6374359130859375,0,44.37522888183594,0.0,9.653472900390623,0.0,0.0,13.365936279296875,0.0,0.0,0.0,0.0,0.0,0.0,0,0.400543212890625,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,3.420639038085937,0.028228759765625,0.0,0.0,5.614471435546875,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0278472900390625,0.0,0.0,0.0,0.0,0.0,3.195953369140625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.01254272460938,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.981643676757812,3.7906646728515625,0.0,154.85572814941406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.128173828125,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.023651123046875,0.005340576171875,0.0,5.7369232177734375,3.7094116210937496,0.7617950439453125,0.0,3.473663330078125,0.0,0.0,0.0,0.0,0.0
101415-111217,0,0,2,2,1,2,0,1,0,4,1,1,0.0201689103218513,14,-23.503354583662016,-46.62464488624731,180, 120, 120,building,0.0,0.0,0.0,0.0,0.0,0.1186370849609375,1.4812469482421875,0.011444091796875,0.0,0.0,0.0,0.0,3.052520751953125,0.08544921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.5529632568359375,0.0324249267578125,0,115.22789001464844,0.0,13.307952880859373,0.0,0.0,25.020599365234375,0.0,5.229949951171876,0.095367431640625,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,4.41741943359375,0.0,0.0,3.3626556396484375,0.0,0,0.0,0.1129150390625,0.0,0.0,0.0,0.0,0.60577392578125,0.1316070556640625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0011444091796875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.615570068359375,0.0,0.0,1.5323638916015625,0.0,0.0,0.3154754638671875,0.0,0.0,0.101470947265625,0.0,0.0,0.0,0.0,114.72816467285156,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.889266967773438,0.4863739013671875,0.0,78.29399108886719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1239776611328125,0.0,0.0,0.008392333984375,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.926101684570312,0.954437255859375,0.0274658203125,0.0,1.14898681640625,0.0,0.0,0.0,0.0,0.0
10147-9998,1,0,1,0,3,1,1,2,1,1,2,2,0.0242728943801648,15,-23.55790824889197,-46.747060340128414,140, 140, 140,road,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008392333984375,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,36.41204833984375,0.0,0.0217437744140625,0.0,0.0,3.8936614990234375,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.1983642578125,0.0,0.0,0.4787445068359375,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.95831298828125,0.0,0.0,1.471710205078125,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.084686279296875,0.0,0.0,0.0,0.0,2.390289306640625,0.003814697265625,0.0,0.0,0.6420135498046875,0.0,0.0,0.71868896484375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.01150512695312,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.124618530273437,0.13427734375,0.0,81.26029968261719,0.0,0.0,0.0,0.357818603515625,0.0,0.0,0.0,0.0,0.4344940185546875,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.11561584472656,1.798248291015625,0.2819061279296875,0.0,0.1987457275390625,0.0,0.0,0.0,0.0,0.0
101531-6497,14,5,10,8,8,12,7,6,8,6,4,4,0.0294757343754854,92,-23.56539749205768,-46.65752564489793,140, 140, 140,road,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011444091796875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,111.45133972167969,0.0,0.1956939697265625,0.0,0.0,13.547134399414062,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.000762939453125,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63629150390625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0080108642578125,0.0,0.0,0.0,0.0,0.0,0.0,16.347122192382812,0.55389404296875,0.0072479248046875,0.0,0.0,18.505859374999996,0.0,0.0,0.005340576171875,0.0,0.0,0.9090423583984376,0.0,0.0095367431640625,0.0,0.0,132.72018432617188,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.050933837890625,0.9586334228515625,0.0,38.642120361328125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2269744873046875,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0057220458984375,0.0,0.0,32.44972229003906,0.1361846923828125,2.2144317626953125,0.0,13.416671752929688,0.0,0.0,0.0,0.0,0.0
